6,1,lp_normal,0,0.07619023323059082,390,390,27,326,99,256,79,301,145,119,1,4,nan,nan,23546 22180 22250 22249 23071 21845,False
6,2,lp_normal,0,0.07996487617492676,420,420,25,331,102,259,79,303,121,103,1,2,nan,nan,22180 22276 15101 16215 18334 23154,False
6,3,lp_normal,0,0.07590532302856445,390,390,27,333,103,260,79,304,259,219,2,4,nan,nan,15228 17152 20951 23444 22202 21849,False
6,0,lp_normal,0,0.08897042274475098,480,480,27,333,103,260,79,304,170,150,2,3,nan,nan,18920 19046 21968 18333 23358 23155,False
7,1,lp_normal,0,0.14641737937927246,480,480,47,204,129,315,98,374,192,144,2,3,nan,nan,23546 22180 23071 22250 21865 21845 22249,False
7,0,lp_normal,0,0.04040884971618652,570,570,48,213,134,320,98,378,256,207,2,5,nan,nan,18920 21849 21968 19046 18333 23155 23358,False
7,3,lp_normal,0,0.1523575782775879,480,480,51,217,136,322,98,380,575,488,5,3,nan,nan,15228 17152 20951 23444 15101 22202 21849,False
7,2,lp_normal,0,0.162306547164917,510,510,47,211,133,319,98,377,212,175,2,3,nan,nan,22276 15101 15227 22180 16215 18334 23154,False
8,1,lp_normal,0,0.07362127304077148,570,570,53,253,164,381,119,451,846,713,6,4,nan,nan,23546 22249 15230 22250 23071 21865 21845 22180,False
8,2,lp_normal,0,0.05715584754943848,585,585,54,267,169,386,119,460,385,305,3,10,nan,nan,22180 16215 20949 15227 15101 22276 18334 23154,False
8,3,lp_normal,0,0.09192299842834473,510,510,57,263,170,387,119,455,969,759,6,6,nan,nan,23545 17152 15228 22202 21849 23444 15101 20951,False
8,0,lp_normal,0,0.07620763778686523,660,660,58,267,169,386,119,460,583,482,5,5,nan,nan,21968 21849 18920 19046 18919 23155 23358 18333,False
9,2,lp_normal,0,0.07208967208862305,600,600,60,326,209,459,142,548,648,486,5,6,nan,nan,22180 20949 15227 22276 18919 15101 16215 18334 23154,False
9,0,lp_normal,0,0.06652259826660156,690,690,65,325,208,458,142,548,1317,1065,9,7,nan,nan,18920 21968 21849 19046 18919 22276 23358 23155 18333,False
9,1,lp_normal,0,0.09044384956359863,660,660,60,324,209,459,142,546,2939,2370,15,7,nan,nan,23546 22362 22249 15230 23071 22250 21865 21845 22180,False
9,3,lp_normal,0,0.09932231903076172,600,600,66,322,209,459,142,544,2331,1807,14,7,nan,nan,23545 17152 15228 23444 15101 20951 22202 21849 21968,False
10,0,lp_normal,0,0.09007549285888672,780,780,72,394,252,537,167,648,941,711,6,12,nan,nan,21849 21968 18920 19046 18919 22276 23358 18333 23155 23149,False
10,2,lp_normal,0,0.10578656196594238,690,690,68,392,252,537,167,646,893,646,6,10,nan,nan,15227 21865 22180 16215 20949 18919 15101 22276 18334 23154,False
10,1,lp_normal,0,0.12077593803405762,810,810,66,380,251,536,167,635,3024,2482,16,7,nan,nan,22362 23071 21865 22249 15230 22250 21845 22180 23546 23547,False
10,3,lp_normal,0,0.13715720176696777,690,690,73,387,252,537,167,641,3665,2884,19,6,nan,nan,23545 17152 15228 23444 15101 22361 20951 22202 21968 21849,False
11,2,lp_normal,0,0.08490586280822754,735,735,75,462,299,621,194,750,1717,1258,11,9,nan,nan,22276 18919 15101 21865 21848 22180 16215 20949 15227 23154 18334,False
11,0,lp_normal,0,0.1788346767425537,870,870,81,465,299,621,194,753,4027,3303,22,12,nan,nan,21968 21849 19046 18919 22276 23155 13327 18920 23358 18333 23149,False
