Campaign,Order
Sterilisation_zu_Wochenbeginn,1
Rot,2
Blau,2
Gruentee,2
Refresh,2
Holunder,2
Naturaplan,2
Passaia,2
Passaia_Light,2
Passaia_Zero,2
Minze,3
Grapefruit,4
Wochenendreinigung,5
Zwischensterilisation,6
